Sample name	Virus	BH p-value	Raw p-value	Orig p-value	Assigned counts	Assigned peptides	Total sample hits	Total filtered sample hits
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Chikungunya_virus	0.000716507799581101	5.337880455331985e-05	8.351928209817929e-05	31.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;40058;40109;42801;42872;42873;90792;90793;42916;42917;55635;94849;94850;56560;58204;58205;89953;89954;70956;71072;71090;71120;78591	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Getah_virus	0.0002677553106310349	1.5397852302720637e-05	2.2256344843600732e-05	31.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;40058;40109;42801;42872;42873;90792;90793;42916;42917;55635;94849;94850;56560;58204;58205;89953;89954;70956;71072;71090;71120;78591	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Mayaro_virus	0.0002677553106310349	1.6878558263274404e-05	2.4367598359895688e-05	31.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;40058;40109;42801;42872;42873;90792;90793;42916;42917;55635;94849;94850;56560;58204;58205;89953;89954;70956;71072;71090;71120;78591	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__O_nyong_nyong_virus	0.0002677553106310349	1.6738767928487667e-05	2.4168394378884055e-05	31.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;40058;40109;42801;42872;42873;90792;90793;42916;42917;55635;94849;94850;56560;58204;58205;89953;89954;70956;71072;71090;71120;78591	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Ross_River_virus	0.0002677553106310349	1.488952329705784e-05	2.1530904655466927e-05	31.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;40058;40109;42801;42872;42873;90792;90793;42916;42917;55635;94849;94850;56560;58204;58205;89953;89954;70956;71072;71090;71120;78591	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Semliki_Forest_virus	0.0002677553106310349	1.5141739758810518e-05	2.1890887197021543e-05	31.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;40058;40109;42801;42872;42873;90792;90793;42916;42917;55635;94849;94850;56560;58204;58205;89953;89954;70956;71072;71090;71120;78591	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__VEEV_complex;s__Venezuelan_equine_encephalitis_virus	0.0002677553106310349	8.077999898259813e-06	9.687958772005143e-06	34.002	12791;94861;94862;90318;90264;28037;32525;32526;90347;90348;32636;40058;40109;42801;42872;42873;90792;90793;42916;42917;55305;55635;94849;94850;56560;58204;58205;89953;89954;70956;71072;71090;71120;78591	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__WEEV_complex;s__Sindbis_virus	0.0003494046453058937	2.342523326220238e-05	3.3673268202477596e-05	31.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;40058;40109;42801;42872;42873;90792;90793;42916;42917;55635;94849;94850;56560;58204;58205;89953;89954;70956;71072;71090;71120;78591	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__WEEV_complex;s__Western_equine_encephalitis_virus	0.0002677553106310349	7.791196103223441e-06	8.959343031963232e-06	32.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;40058;40109;42801;42872;42873;90792;90793;42916;42917;51454;55635;94849;94850;56560;58204;58205;89953;89954;70956;71072;71090;71120;78591	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;s__Barmah_Forest_virus	0.0002677553106310349	1.0198857882702049e-05	1.2500022990846906e-05	31.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;40058;40109;42801;42872;42873;90792;90793;42916;42917;55635;94849;94850;56560;58204;58205;89953;89954;70956;71072;71090;71120;78591	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Cosavirus;-__unclassified_Cosavirus;s__Cosavirus_JMY_2014	1.0603928860397164e-05	1.21535001265297e-07	1.4104982069623947e-07	30.001	95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95112;95111;21644;21643;95146;89321;58522;89004;89051;58899;58977;68550;68551;85783;85784;77507	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Cosavirus;-__unclassified_Cosavirus;s__Human_cosavirus_B	2.476884913086541e-06	1.4194182883017426e-08	1.5366766481993166e-08	31.001	899;95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95112;95111;21644;21643;95146;89321;87113;58522;89051;58899;93648;58977;68550;68551;85783;77507	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Cosavirus;-__unclassified_Cosavirus;s__Human_cosavirus_F	2.2007866701330175e-05	3.541106665079815e-07	4.0814177890736477e-07	29.001	95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95112;95111;21644;21643;95146;89321;58522;89004;89051;58899;58977;68550;68551;85783;77507	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Enterovirus;-__unclassified_Enterovirus;s__Human_enterovirus	0.0002677553106310349	1.0447717814785481e-05	1.3658600988601621e-05	47.001	899;93405;95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95009;95112;95111;21644;21643;95146;95443;89238;89321;24208;24229;24262;85608;37951;88892;95445;58522;89004;89051;58899;58924;58976;58977;58984;95498;68550;68551;85783;85784;77507;79174	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Enterovirus;s__Enterovirus_A	0.0003494046453058937	2.4027826611293553e-05	3.9944258417616274e-05	52.001	899;93405;7052;8252;95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95009;95112;95111;21644;21643;95146;95443;89238;89265;89321;24208;24229;24262;85608;37951;40058;88892;95445;58522;89004;89051;58899;58924;58976;58977;58984;61058;95498;68550;68551;85783;85784;77507;79174	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Enterovirus;s__Enterovirus_B	0.009235401861326932	0.0007674116159841864	0.0013309956541797982	48.001	899;93405;95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95009;95112;95111;21644;21643;95146;95443;89238;89321;24208;24229;24262;85608;31523;37951;88892;95445;58522;89004;89051;58899;58924;58976;58977;58984;95498;68550;68551;85783;85784;77507;79174	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Enterovirus;s__Enterovirus_C	0.0002677553106310349	1.3837920237031353e-05	2.0191174232315296e-05	52.001	899;93405;95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95009;95112;95111;21644;21643;95146;95443;89238;89338;89265;89321;24208;24229;24262;85608;35533;36628;37951;88892;95445;58522;89004;89051;58899;58924;58976;58977;58984;95498;68550;68551;85783;85784;71072;77507;79174	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Enterovirus;s__Enterovirus_D	0.0004180168497313819	2.9943900410557442e-05	5.414014099447802e-05	46.001	899;93405;95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95009;95112;95111;21644;21643;95146;95443;89321;24208;24229;24262;85608;37951;88892;95445;58522;89004;89051;58899;58924;58976;58977;58984;95498;68550;68551;85783;85784;77507;79174	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Enterovirus;s__Enterovirus_H	0.0002677553106310349	8.12164576352119e-06	1.0643493912370722e-05	47.001	899;93405;95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95009;95112;95111;21644;21643;95146;95443;89238;89321;24208;24229;24262;85608;37951;88892;95445;58522;89004;89051;58899;58924;58976;58977;58984;95498;68550;68551;85783;85784;77507;79174	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Enterovirus;s__Rhinovirus_A	0.0002677553106310349	1.29210575925638e-05	1.7166634828101875e-05	52.001	899;93405;95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95009;95112;95111;21644;21643;95146;95443;94862;89238;89321;24208;24229;24262;85608;28100;37951;41741;88892;94850;95445;58205;58522;89004;89051;58899;58924;58976;58977;58984;95498;68550;68551;85783;85784;77507;79174	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Enterovirus;s__Rhinovirus_B	0.0002677553106310349	7.738968228554672e-06	1.026166158732527e-05	50.001	899;93405;95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95009;95112;95111;21644;21643;95146;95443;94862;89238;89321;24208;24229;24262;85608;37951;88892;94850;95445;58205;58522;89004;89051;58899;58924;58976;58977;58984;95498;68550;68551;85783;85784;77507;79174	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Hepatovirus;s__Hepatovirus_A	0.0002677553106310349	1.1507508022574178e-05	1.3709875964087827e-05	25.001	95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95111;21644;21643;58522;89051;58977;68550;68551;85783;85784;77507	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Kobuvirus;s__Aichivirus_A	0.0002677553106310349	9.062577310858328e-06	1.1016536669487527e-05	29.001	95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95112;95111;21644;21643;95146;89321;40058;58522;89004;89051;68550;68551;85783;85784;77507	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Parechovirus;-__unclassified_Parechovirus;s__Human_parechovirus	5.724393593243757e-08	1.6402273906142569e-10	1.6402273906142569e-10	31.001	95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95112;95111;21644;21643;95146;89321;31723;58522;89004;89051;58977;66556;68550;68551;85783;85784;77507	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Rosavirus;s__Rosavirus_A	3.329039248718494e-06	2.8616383226806537e-08	3.323205787563469e-08	29.001	95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95112;95111;21644;21643;95146;89321;58522;89004;89051;58977;68550;68551;85783;85784;77507	612.0	574.0
TAB009	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Salivirus;-__unclassified_Salivirus;s__Salivirus_FHB	2.2007866701330175e-05	3.7835873985094856e-07	4.3141740960158107e-07	26.001	95428;89390;95013;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95009;95112;95111;21644;21643;95146;89321;89004;68550;68551;85783;85784	612.0	574.0
TAB010	d__Viruses;-__dsRNA_viruses;f__Picobirnaviridae;g__Picobirnavirus;s__Human_picobirnavirus	0.017217320165555224	0.0016495636086759496	0.0019295769386156673	8.0	11417;74789;12829;12791;12867;12866;12810;12886	601.0	558.0
TAB010	d__Viruses;-__ssDNA_viruses;f__Circoviridae;g__Circovirus;s__Porcine_circovirus_2	0.001029057388182849	8.626828403928075e-05	0.00010264972388139048	8.003	86466;86415;86005;40750;41517;42142;86634;74696	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_negative_strand_viruses;f__Orthomyxoviridae;g__Influenzavirus_B;s__Influenza_B_virus	0.0026337125957155917	0.00022867564453818014	0.00038588711218940746	42.004	83031;83155;83061;93357;83282;94734;83206;70784;83023;92910;83171;83345;83326;83250;53711;83036;92936;83372;83076;83181;83212;83044;83102;83131;83267;83365;83278;83378;83166;95573;83883;83855;83931;94857;53311;83920;83875;83721;60982;83846;83841;83910	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__tick_borne_encephalitis_virus_group;s__Langat_virus	0.013420160060593482	0.0012054035982568996	0.001769547871781187	30.003	23824;27543;27589;27597;27598;86465;86466;32952;86415;37726;86005;40750;40751;41372;41517;42141;42142;42872;90792;42916;49968;50643;86963;86791;86633;86634;86691;89716;74695;74696	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__tick_borne_encephalitis_virus_group;s__Phnom_Penh_bat_virus	0.017217320165555224	0.0016207507408312913	0.0027499581032407946	27.003	23824;27543;27589;27597;27598;86465;86466;32952;86415;37726;86005;40750;40751;41372;41517;42141;42142;49968;50643;86963;86791;86633;86634;86691;89716;74695;74696	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__EEEV_complex;s__Eastern_equine_encephalitis_virus	3.273132232372732e-05	9.799797102912373e-07	1.2446624029116007e-06	34.002	94861;94862;90318;90264;28037;32525;32526;90347;90348;32636;37554;40058;40109;42801;42872;42873;90792;90793;42916;42917;55573;55635;94849;94850;56560;58204;58205;89954;70956;71072;71090;71120;90059;78591	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Chikungunya_virus	7.81436917012519e-05	5.381152422541299e-06	8.414020380460177e-06	33.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;37554;40058;40109;42801;42872;42873;90792;90793;42916;42917;55573;55635;94849;94850;56560;58204;58205;89954;70956;71072;71090;71120;90059;78591	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Getah_virus	3.375519318457309e-05	1.498527238538679e-06	1.8890060400142964e-06	33.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;37554;40058;40109;42801;42872;42873;90792;90793;42916;42917;55573;55635;94849;94850;56560;58204;58205;89954;70956;71072;71090;71120;90059;78591	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Mayaro_virus	3.375519318457309e-05	1.6606313257003125e-06	2.091978074089891e-06	33.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;37554;40058;40109;42801;42872;42873;90792;90793;42916;42917;55573;55635;94849;94850;56560;58204;58205;89954;70956;71072;71090;71120;90059;78591	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__O_nyong_nyong_virus	3.375519318457309e-05	1.6452501533006443e-06	2.0727252151355127e-06	33.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;37554;40058;40109;42801;42872;42873;90792;90793;42916;42917;55573;55635;94849;94850;56560;58204;58205;89954;70956;71072;71090;71120;90059;78591	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Ross_River_virus	3.375519318457309e-05	1.4433071024389646e-06	1.819830898985687e-06	33.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;37554;40058;40109;42801;42872;42873;90792;90793;42916;42917;55573;55635;94849;94850;56560;58204;58205;89954;70956;71072;71090;71120;90059;78591	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__SFV_complex;s__Semliki_Forest_virus	3.375519318457309e-05	1.4706771885658468e-06	1.8541200514346583e-06	33.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;37554;40058;40109;42801;42872;42873;90792;90793;42916;42917;55573;55635;94849;94850;56560;58204;58205;89954;70956;71072;71090;71120;90059;78591	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__VEEV_complex;s__Venezuelan_equine_encephalitis_virus	2.674708265370252e-05	6.406486863162281e-07	7.899277584149851e-07	36.002	12791;94861;94862;90318;90264;28037;32525;32526;90347;90348;32636;37554;40058;40109;42801;42872;42873;90792;90793;42916;42917;55305;55573;55635;94849;94850;56560;58204;58205;89954;70956;71072;71090;71120;90059;78591	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__WEEV_complex;s__Sindbis_virus	4.0028833271456e-05	2.3969361240392816e-06	3.0123489229271468e-06	33.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;37554;40058;40109;42801;42872;42873;90792;90793;42916;42917;55573;55635;94849;94850;56560;58204;58205;89954;70956;71072;71090;71120;90059;78591	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;-__WEEV_complex;s__Western_equine_encephalitis_virus	2.674708265370252e-05	5.91530761970244e-07	6.951111492062575e-07	34.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;37554;40058;40109;42801;42872;42873;90792;90793;42916;42917;51454;55573;55635;94849;94850;56560;58204;58205;89954;70956;71072;71090;71120;90059;78591	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Togaviridae;g__Alphavirus;s__Barmah_Forest_virus	2.895246232066171e-05	7.801561703172317e-07	9.874435347742707e-07	33.002	94861;94862;90318;90264;32525;32526;90347;90348;32636;37554;40058;40109;42801;42872;42873;90792;90793;42916;42917;55573;55635;94849;94850;56560;58204;58205;89954;70956;71072;71090;71120;90059;78591	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Cosavirus;-__unclassified_Cosavirus;s__Cosavirus_JMY_2014	1.6106329352819188e-06	1.9289017189005016e-08	2.269742898423954e-08	31.001	95428;95427;89390;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95112;95111;21644;21643;95146;89321;58522;89004;89051;58899;58977;68550;68551;85783;85784;77507;77522	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Cosavirus;-__unclassified_Cosavirus;s__Human_cosavirus_B	8.253262519902562e-07	7.413110047816672e-09	8.051782597391713e-09	31.001	899;95428;95427;89390;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95112;95111;21644;21643;95146;89321;87113;58522;89051;58899;93648;58977;68550;68551;85783;77507	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Cosavirus;-__unclassified_Cosavirus;s__Human_cosavirus_D	1.100188866813212e-05	1.9763871858919977e-07	2.2918967387487337e-07	29.001	95428;95427;89390;95326;95325;37537;37996;24274;89325;89323;95238;95074;95075;95112;95111;21644;21643;95146;89321;58522;89004;89051;58899;58977;68550;68551;85783;77507;77522	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Cosavirus;-__unclassified_Cosavirus;s__Human_cosavirus_F	3.974539161810843e-06	5.9499089248665316e-08	6.951344435792389e-08	30.001	95428;95427;89390;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95112;95111;21644;21643;95146;89321;58522;89004;89051;58899;58977;68550;68551;85783;77507;77522	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Enterovirus;-__unclassified_Enterovirus;s__Human_enterovirus	3.950288669475336e-05	2.2471702011985446e-06	3.017481003180042e-06	48.001	899;93405;95428;95427;89390;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95009;95112;95111;21644;21643;95146;95443;21696;89321;24208;24229;24262;85608;37951;88892;95445;58522;89004;89051;58899;58924;58976;58977;58984;95498;68550;68551;85783;85784;77507;77522;79174	601.0	558.0
TAB010	d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Enterovirus;s__Enterovirus_A	7.93532426309518e-05	5.939613969382619e-06	9.383903921624142e-06	53.001	899;93405;7052;8252;95428;95427;89390;95326;95325;37537;37996;24274;89324;89325;89323;95238;95074;95075;95009;95112;95111;21644;21643;95146;95443;21696;89265;89321;24208;24229;24262;85608;37951;40058;88892;95445;58522;89004;89051;58899;58924;58976;58977;58984;61058;95498;68550;68551;85783;85784;77507;77522;79174	601.0	558.0
