Run_ID,ID,Species,Sex,Age_cat,Age_tooth,Mass,Forearm,MF_resid,Zoonotic,Virus,virus_family,virus_genus,virus_species,Raw p-value,Orig p-value,Assigned counts,Assigned peptides,Total sample hits,Total filtered sample hits,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__ssRNA_viruses;-__ssRNA_negative_strand_viruses;f__Orthomyxoviridae;g__Influenzavirus_A;s__Influenza_A_virus,Orthomyxoviridae,Influenzavirus_A,Influenza_A_virus,1.17E-10,2.65E-08,72,11691;83949;92932;94384;94724;25048;93356;93355;83281;83258;83271;83270;53709;53710;83211;83266;83164;83191;83379;83380;85308;85337;85191;85190;85201;85351;85350;85151;85164;35835;35836;85389;85406;94508;83784;83933;67431;67432;83733;92895;85198;85163;93469;85104;27872;81228;81383;81484;81575;81757;81774;82699;82717;82728;82761;83066;83259;83275;84588;84592;84600;84618;84626;84648;84664;84669;84690;84693;92898;93258;95636;95680,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_negative_strand_viruses;f__Orthomyxoviridae;g__Influenzavirus_B;s__Influenza_B_virus,Orthomyxoviridae,Influenzavirus_B,Influenza_B_virus,3.36E-10,1.50E-07,52,11691;94384;94724;96148;93356;93355;83281;83258;83271;83270;53709;53710;83211;83266;83164;83191;83379;83380;85308;85337;85190;85201;85350;85151;35835;85389;85406;94508;83784;83933;67431;67432;83733;92895;85198;85163;93469;85104;81575;81629;81671;81731;81741;81757;81758;81774;83066;83259;83275;83418;85026;92898,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__ssRNA_viruses;-__ssRNA_negative_strand_viruses;o__Bunyavirales;f__Nairoviridae;g__Orthonairovirus;s__Kasokero_orthonairovirus,Nairoviridae,Orthonairovirus,Kasokero_orthonairovirus,1.56E-05,4.75E-05,6.003,71449;71448;17682;17683;71450;17684,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_negative_strand_viruses;o__Mononegavirales;f__Pneumoviridae;g__Orthopneumovirus;s__Human_orthopneumovirus,Pneumoviridae,Orthopneumovirus,Human_orthopneumovirus,3.21E-16,3.41E-16,40.001,63836;63837;51891;51890;56496;13121;13122;17600;80453;80452;55727;56488;56959;80439;80431;56411;70426;19832;80422;56480;13114;55509;70446;56504;56495;56487;70425;19831;56479;22259;70445;56503;55508;55726;17599;55725;56478;17680;17681;83011,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_negative_strand_viruses;o__Mononegavirales;f__Pneumoviridae;g__Pneumovirus;-__unclassified_Pneumovirus;s__Respiratory_syncytial_virus,Pneumoviridae,Pneumovirus,Respiratory_syncytial_virus,3.95E-18,3.95E-18,41.001,63836;63837;51891;51890;56496;13121;13122;17600;80453;80452;55727;56488;56959;80439;80431;56411;70426;19832;80422;56480;13114;55509;70446;56504;56495;56487;70425;19831;56479;22259;70445;56503;55508;55726;17599;55725;56478;17680;17681;25313;83011,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__Modoc_virus_group;s__Modoc_virus,Flaviviridae,Flavivirus,Modoc_virus,2.90E-07,2.03E-05,33.002,32999;32998;23846;86386;23837;23838;27582;27594;27595;40734;40735;74692;74693;74711;74712;86002;86348;86764;86824;86825;86828;86829;86864;86892;86896;89167;89402;89456;89462;89559;89808;89820;89939,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__Ntaya_virus_group;s__Ntaya_virus,Flaviviridae,Flavivirus,Ntaya_virus,1.34E-08,2.85E-06,42.002,51891;56496;13122;80453;56488;56959;56480;56504;32999;32998;23846;86386;23837;23838;27582;27594;27595;40734;40735;74692;74693;74711;74712;86002;86348;86764;86824;86825;86828;86829;86864;86892;86896;89167;89402;89456;89462;89559;89701;89808;89820;89939,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__Rio_Bravo_virus_group;s__Apoi_virus,Flaviviridae,Flavivirus,Apoi_virus,1.72E-07,1.39E-05,34.002,32999;32998;23846;86386;23837;23838;27582;27594;27595;40734;40735;74692;74693;74711;74712;86002;86348;86764;86824;86825;86828;86829;86864;86892;86896;89167;89402;89456;89462;89559;89701;89808;89820;89939,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__Rio_Bravo_virus_group;s__Rio_Bravo_virus,Flaviviridae,Flavivirus,Rio_Bravo_virus,1.14E-07,9.67E-06,34.002,32999;32998;23846;86386;23837;23838;27582;27594;27595;40734;40735;74692;74693;74711;74712;86002;86348;86764;86824;86825;86828;86829;86864;86892;86896;89167;89402;89456;89462;89559;89701;89808;89820;89939,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__tick_borne_encephalitis_virus_group;s__Langat_virus,Flaviviridae,Flavivirus,Langat_virus,1.22E-06,7.75E-05,34.002,32999;32998;23846;86386;23837;23838;27582;27594;27595;40734;40735;74692;74693;74711;74712;86002;86348;86764;86824;86825;86828;86829;86864;86892;86896;89167;89402;89456;89462;89559;89701;89808;89820;89939,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__tick_borne_encephalitis_virus_group;s__Phnom_Penh_bat_virus,Flaviviridae,Flavivirus,Phnom_Penh_bat_virus,3.11E-07,2.16E-05,33.002,32999;32998;23846;86386;23837;23838;27582;27594;27595;40734;40735;74692;74693;74711;74712;86002;86348;86764;86824;86825;86828;86829;86864;86892;86896;89167;89402;89456;89462;89559;89808;89820;89939,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;-__unclassified_Flavivirus;s__Spanish_goat_encephalitis_virus,Flaviviridae,Flavivirus,Spanish_goat_encephalitis_virus,9.20E-07,6.06E-05,34.002,32999;32998;23846;86386;23837;23838;27582;27594;27595;40734;40735;74692;74693;74711;74712;86002;86348;86764;86824;86825;86828;86829;86864;86892;86896;89167;89402;89456;89462;89559;89701;89808;89820;89939,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;f__Flaviviridae;g__Flavivirus;s__Montana_myotis_leukoencephalitis_virus,Flaviviridae,Flavivirus,Montana_myotis_leukoencephalitis_virus,4.97E-07,3.27E-05,33.002,32999;32998;23846;86386;23837;23838;27582;27594;27595;40734;40735;74692;74693;74711;74712;86002;86348;86764;86824;86825;86828;86829;86864;86892;86896;89167;89402;89456;89462;89559;89808;89820;89939,620,551,
APO165,Pa18,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__ssRNA_viruses;-__ssRNA_positive_strand_viruses__no_DNA_stage;o__Picornavirales;f__Picornaviridae;g__Enterovirus;s__Rhinovirus_A,Picornaviridae,Enterovirus,Rhinovirus_A,5.43E-16,6.00E-16,76,843;93604;56496;13122;17600;80452;55727;56488;56959;55509;56504;37900;37899;23580;23579;49773;68505;68506;57885;57884;31974;31975;31973;58753;93747;25046;25048;25047;58992;58915;58914;23581;21752;21753;49774;93698;93699;68507;85684;93426;93427;58754;93749;93748;58836;85617;16554;16553;21673;21674;68475;68476;21675;68477;68478;63934;21598;37955;37956;41244;41245;42704;58835;68486;85739;85806;85870;85871;87141;89239;95213;95229;95293;95330;95474;95497,620,551,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__Retro_transcribing_viruses;f__Retroviridae;-__Orthoretrovirinae;g__Gammaretrovirus;-__unclassified_Gammaretrovirus;s__Murine_leukemia_related_retroviruses,Retroviridae,Gammaretrovirus,Murine_leukemia_related_retroviruses,0.008015856,0.010681694,5.008,30900;30901;30902;80331;80346,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Adenoviridae;g__Mastadenovirus;s__Human_mastadenovirus_A,Adenoviridae,Mastadenovirus,Human_mastadenovirus_A,0.002571535,0.006115379,23.004,151;751;58436;44832;21515;21514;54315;54316;54483;54484;21516;43135;43134;54317;54485;12396;54387;54388;12395;21526;31384;31385;57040,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Adenoviridae;g__Mastadenovirus;s__Human_mastadenovirus_B,Adenoviridae,Mastadenovirus,Human_mastadenovirus_B,0.008172728,0.017881856,23.004,151;751;58436;44832;21515;21514;54315;54316;54483;54484;21516;43135;43134;54317;54485;12396;54387;54388;12395;21526;31384;31385;57040,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Adenoviridae;g__Mastadenovirus;s__Human_mastadenovirus_C,Adenoviridae,Mastadenovirus,Human_mastadenovirus_C,0.005367402,0.003285778,23.004,151;751;58436;44832;21515;21514;54315;54316;54483;54484;21516;43135;43134;54317;54485;12396;54387;54388;12395;21526;31384;31385;57040,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Adenoviridae;g__Mastadenovirus;s__Human_mastadenovirus_D,Adenoviridae,Mastadenovirus,Human_mastadenovirus_D,0.009734924,0.011737111,23.004,151;751;58436;44832;21515;21514;54315;54316;54483;54484;21516;43135;43134;54317;54485;12396;54387;54388;12395;21526;31384;31385;57040,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,YES,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Adenoviridae;g__Mastadenovirus;s__Human_mastadenovirus_E,Adenoviridae,Mastadenovirus,Human_mastadenovirus_E,0.006258122,0.013976951,23.004,151;751;58436;44832;21515;21514;54315;54316;54483;54484;21516;43135;43134;54317;54485;12396;54387;54388;12395;21526;31384;31385;57040,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Adenoviridae;g__Mastadenovirus;s__Human_mastadenovirus_F,Adenoviridae,Mastadenovirus,Human_mastadenovirus_F,0.00156653,0.00245144,23.004,151;751;58436;44832;21515;21514;54315;54316;54483;54484;21516;43135;43134;54317;54485;12396;54387;54388;12395;21526;31384;31385;57040,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Adenoviridae;g__Mastadenovirus;s__Human_mastadenovirus_G,Adenoviridae,Mastadenovirus,Human_mastadenovirus_G,0.001579552,0.003875396,23.004,151;751;58436;44832;21515;21514;54315;54316;54483;54484;21516;43135;43134;54317;54485;12396;54387;54388;12395;21526;31384;31385;57040,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Adenoviridae;g__Mastadenovirus;s__Platyrrhini_mastadenovirus_A,Adenoviridae,Mastadenovirus,Platyrrhini_mastadenovirus_A,0.000161798,0.00017897,23.004,151;751;58436;44832;21515;21514;54315;54316;54483;54484;21516;43135;43134;54317;54485;12396;54387;54388;12395;21526;31384;31385;57040,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;-__unclassified_Papillomaviridae;-__Human_papillomavirus_types;s__Human_papillomavirus,Papillomaviridae,unclassified_Papillomaviridae,Human_papillomavirus,3.67E-05,3.92E-05,31.001,24289;24290;24407;38796;40691;43982;44147;44255;44256;44914;45093;45193;45194;45398;45480;45481;49721;50372;50373;50698;50699;50700;50814;50815;67161;67162;67240;67241;67242;67671;67672,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;-__unclassified_Papillomaviridae;-__Human_papillomavirus_types;s__Human_papillomavirus_type_136,Papillomaviridae,unclassified_Papillomaviridae,Human_papillomavirus_type_136,2.61E-06,2.61E-06,31.001,24289;24290;24407;38796;40691;43982;44147;44255;44256;44914;45093;45193;45194;45398;45480;45481;49721;50372;50373;50698;50699;50700;50814;50815;67161;67162;67240;67241;67242;67671;67672,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;-__unclassified_Papillomaviridae;-__Human_papillomavirus_types;s__Human_papillomavirus_type_140,Papillomaviridae,unclassified_Papillomaviridae,Human_papillomavirus_type_140,1.44E-06,1.44E-06,32.001,24289;24290;24407;24408;38796;40691;43982;44147;44255;44256;44914;45093;45193;45194;45398;45480;45481;49721;50372;50373;50698;50699;50700;50814;50815;67161;67162;67240;67241;67242;67671;67672,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;-__unclassified_Papillomaviridae;-__Human_papillomavirus_types;s__Human_papillomavirus_type_141,Papillomaviridae,unclassified_Papillomaviridae,Human_papillomavirus_type_141,6.27E-06,6.27E-06,30.001,24289;24290;24407;38796;43982;44147;44255;44256;44914;45093;45193;45194;45398;45480;45481;49721;50372;50373;50698;50699;50700;50814;50815;67161;67162;67240;67241;67242;67671;67672,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;-__unclassified_Papillomaviridae;-__Human_papillomavirus_types;s__Human_papillomavirus_type_145,Papillomaviridae,unclassified_Papillomaviridae,Human_papillomavirus_type_145,1.04E-05,1.04E-05,32.001,24289;24290;24407;24408;38796;38813;43982;44147;44255;44256;44914;45093;45193;45194;45389;45398;45480;45481;49721;50372;50373;50698;50699;50700;50814;50815;67161;67162;67240;67241;67671;67672,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;-__unclassified_Papillomaviridae;-__Human_papillomavirus_types;s__Human_papillomavirus_type_154,Papillomaviridae,unclassified_Papillomaviridae,Human_papillomavirus_type_154,2.67E-06,2.67E-06,31.001,24289;24290;24407;38796;40691;43982;44147;44255;44256;44914;45093;45193;45194;45398;45480;45481;49721;50372;50373;50698;50699;50700;50814;50815;67161;67162;67240;67241;67242;67671;67672,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;-__unclassified_Papillomaviridae;-__Human_papillomavirus_types;s__Human_papillomavirus_type_179,Papillomaviridae,unclassified_Papillomaviridae,Human_papillomavirus_type_179,1.31E-05,1.31E-05,30.001,24289;24290;38796;43982;44147;44255;44256;44914;45093;45193;45194;45389;45398;45480;45481;49721;50372;50373;50698;50699;50700;50814;50815;67161;67162;67240;67241;67242;67671;67672,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;-__unclassified_Papillomaviridae;-__Human_papillomavirus_types;s__Human_papillomavirus_type_197,Papillomaviridae,unclassified_Papillomaviridae,Human_papillomavirus_type_197,2.75E-06,2.75E-06,31.001,24289;24290;24407;38796;40691;43982;44147;44255;44256;44914;45093;45193;45194;45398;45480;45481;49721;50372;50373;50698;50699;50700;50814;50815;67161;67162;67240;67241;67242;67671;67672,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;g__Alphapapillomavirus;s__Alphapapillomavirus_10,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus_10,5.66E-05,6.05E-05,33.001,24289;24290;24407;24408;38796;38813;40691;43982;44147;44255;44256;44914;45093;45193;45194;45388;45389;45398;45480;45481;49721;50372;50373;50699;50700;50814;50815;67161;67162;67240;67241;67671;67672,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;g__Alphapapillomavirus;s__Alphapapillomavirus_3,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus_3,6.26E-05,6.69E-05,33.001,24289;24290;24407;24408;38796;38813;40691;43982;44147;44255;44256;44914;45093;45193;45194;45388;45389;45398;45480;45481;49721;50372;50373;50699;50700;50814;50815;67161;67162;67240;67241;67671;67672,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;g__Alphapapillomavirus;s__Alphapapillomavirus_8,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus_8,7.58E-05,8.09E-05,32.001,24289;24290;24407;24408;38796;38813;40691;43982;44147;44255;44256;44914;45093;45193;45194;45388;45389;45398;45480;45481;49721;50372;50373;50699;50700;50814;50815;67161;67162;67241;67671;67672,311,290,
APO166,Pa19,Pteropus alecto,M,NA,NA,NA,NA,,NO,d__Viruses;-__dsDNA_viruses__no_RNA_stage;f__Papillomaviridae;g__Alphapapillomavirus;s__Alphapapillomavirus_9,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus_9,0.000127179,0.000135752,33.001,20637;24289;24290;24407;24408;38796;38813;40691;43982;44147;44255;44256;44914;45093;45193;45194;45388;45389;45398;45480;45481;49721;50372;50373;50698;50699;50814;50815;67161;67240;67241;67671;67672,311,290,
